hour_of_day,hour_label,observations,avg_steps
0,12 AM,1935,43.0
1,01 AM,1934,22.0
2,02 AM,1934,14.0
3,03 AM,1933,7.0
4,04 AM,1931,11.0
5,05 AM,1931,35.0
6,06 AM,1930,148.0
7,07 AM,1930,283.0
8,08 AM,1930,396.0
9,09 AM,1930,431.0
10,10 AM,1926,454.0
11,11 AM,1924,455.0
12,12 PM,1918,534.0
13,01 PM,1917,496.0
14,02 PM,1917,506.0
15,03 PM,1910,398.0
16,04 PM,1902,471.0
17,05 PM,1900,500.0
18,06 PM,1899,550.0
19,07 PM,1899,555.0
20,08 PM,1897,378.0
21,09 PM,1896,284.0
22,10 PM,1894,204.0
23,11 PM,1891,112.0
