Id,ActivityDate,TotalSteps,Calories
1503960366,2016-05-05,14070,1959
1503960366,2016-03-30,10970,1820
1503960366,2016-04-01,12262,1868
1503960366,2016-04-09,12432,1883
1503960366,2016-05-01,10602,1820
1503960366,2016-04-19,15506,2035
1503960366,2016-03-31,12256,1889
1503960366,2016-04-26,13755,1970
1503960366,2016-05-04,11100,1819
1503960366,2016-04-05,14844,2083
1503960366,2016-04-15,9762,1745
1503960366,2016-04-11,10990,1811
1503960366,2016-04-07,10198,1755
1503960366,2016-03-25,11004,1819
1503960366,2016-04-24,10039,1788
1503960366,2016-04-20,10544,1786
1503960366,2016-05-08,10060,1740
1503960366,2016-04-04,14557,2030
1503960366,2016-05-09,12022,1819
1503960366,2016-05-07,11992,1821
1503960366,2016-05-06,12159,1896
1503960366,2016-05-03,15103,1990
1503960366,2016-04-30,14673,1947
1503960366,2016-04-10,10057,1755
1503960366,2016-04-12,13162,1985
1503960366,2016-04-21,9819,1775
1503960366,2016-05-02,14727,2004
1503960366,2016-04-13,10735,1797
1503960366,2016-03-27,12736,1944
1503960366,2016-04-25,15355,2013
1503960366,2016-04-17,9705,1728
1503960366,2016-05-10,12207,1859
1503960366,2016-04-23,14371,1949
1503960366,2016-04-29,11181,1837
1503960366,2016-04-02,11248,1843
1503960366,2016-04-27,18134,2159
1503960366,2016-04-16,12669,1863
1503960366,2016-04-08,12521,1895
1503960366,2016-04-14,10460,1776
1503960366,2016-04-28,13154,1898
1503960366,2016-04-03,10016,1850
1503960366,2016-03-28,13231,1932
1503960366,2016-05-11,12770,1783
1503960366,2016-03-26,17609,2154
1503960366,2016-04-06,11974,1861
1503960366,2016-03-29,12041,1886
1503960366,2016-04-22,12764,1827
1503960366,2016-04-18,13019,1921
1624580081,2016-04-08,6344,1409
1624580081,2016-05-08,3427,1427
1624580081,2016-04-22,4026,1470
1624580081,2016-05-01,36019,2690
1624580081,2016-04-02,1556,1327
1624580081,2016-05-07,2104,1474
1624580081,2016-03-25,1810,1373
1624580081,2016-04-10,3910,1555
1624580081,2016-05-04,2193,1368
1624580081,2016-05-06,1727,1341
1624580081,2016-04-29,2390,1404
1624580081,2016-03-28,1905,1342
1624580081,2016-04-28,2759,1401
1624580081,2016-04-14,9107,1572
1624580081,2016-05-05,2470,1370
1624580081,2016-05-03,2100,1334
1624580081,2016-05-12,2971,1002
1624580081,2016-04-11,10000,1469
1624580081,2016-03-31,4506,1498
1624580081,2016-04-05,1335,1308
1624580081,2016-04-15,1510,1344
1624580081,2016-03-27,1985,1350
1624580081,2016-03-30,1675,1313
1624580081,2016-04-21,6349,1467
1624580081,2016-04-25,6497,1492
1624580081,2016-04-17,6175,1554
1624580081,2016-04-12,8163,1432
1624580081,2016-04-13,7007,1411
1624580081,2016-04-19,2916,1435
1624580081,2016-04-03,2910,1452
1624580081,2016-04-04,18464,1574
1624580081,2016-04-06,1004,1276
1624580081,2016-04-01,9218,1541
1624580081,2016-05-02,7155,1497
1624580081,2016-05-09,1732,1328
1624580081,2016-04-18,10536,1604
1624580081,2016-03-29,1552,1300
1624580081,2016-05-10,2969,1393
1624580081,2016-05-11,3134,1359
1624580081,2016-04-09,3572,1370
1624580081,2016-04-27,8367,1670
1624580081,2016-04-23,8538,1562
1624580081,2016-03-26,815,1264
1624580081,2016-04-07,1111,1278
1624580081,2016-04-16,5370,1463
1624580081,2016-04-30,6474,1655
1624580081,2016-04-20,4974,1446
1624580081,2016-04-26,2826,1402
1624580081,2016-04-24,6076,1617
1644430081,2016-05-09,6643,3008
1644430081,2016-04-26,9919,3123
1644430081,2016-04-25,3580,2497
1644430081,2016-04-18,7132,2806
1644430081,2016-04-09,13840,3290
1644430081,2016-04-13,8001,2902
1644430081,2016-04-02,20237,4029
1644430081,2016-04-12,10694,3199
1644430081,2016-05-05,4363,2463
1644430081,2016-04-19,11256,3300
1644430081,2016-04-28,9405,3108
1644430081,2016-04-27,3032,2489
1644430081,2016-04-30,18213,3846
1644430081,2016-05-08,6724,2987
1644430081,2016-04-14,11037,3226
1644430081,2016-04-07,11166,3202
1644430081,2016-05-11,1329,1276
1644430081,2016-05-04,2309,2222
1644430081,2016-04-16,15300,3493
1644430081,2016-04-15,5263,2750
1644430081,2016-05-01,6132,2696
1644430081,2016-04-29,3176,2498
1644430081,2016-04-23,6637,2677
1644430081,2016-05-02,3758,2580
1644430081,2016-04-22,3673,2344
1644430081,2016-04-05,9921,3098
1644430081,2016-04-03,12912,3436
1644430081,2016-04-21,1223,2140
1644430081,2016-05-06,9787,3328
1644430081,2016-04-04,2819,2444
1644430081,2016-04-08,7842,2928
1644430081,2016-05-10,9167,2799
1644430081,2016-05-07,13372,3404
1644430081,2016-04-24,3321,2413
1644430081,2016-04-20,2436,2430
1644430081,2016-04-06,8046,2925
1644430081,2016-04-17,8757,3011
1644430081,2016-04-10,1329,489
1644430081,2016-04-01,4636,3323
1644430081,2016-05-03,12850,3324
1844505072,2016-04-16,3414,1657
1844505072,2016-04-13,4929,1860
1844505072,2016-04-02,5367,1889
1844505072,2016-05-06,44,1351
1844505072,2016-04-03,2841,1636
1844505072,2016-04-09,4979,1807
1844505072,2016-04-15,3844,1725
1844505072,2016-04-08,5316,1824
1844505072,2016-04-21,8054,2062
1844505072,2016-04-23,3570,1645
1844505072,2016-04-14,7937,2130
1844505072,2016-04-22,5372,1827
1844505072,2016-04-28,6907,1992
1844505072,2016-04-06,7,1349
1844505072,2016-04-07,6344,1965
1844505072,2016-04-20,8,1349
1844505072,2016-04-29,4920,1856
1844505072,2016-04-17,4525,1793
1844505072,2016-04-30,4014,1763
1844505072,2016-05-03,4059,1742
1844505072,2016-04-18,4597,1814
1844505072,2016-04-27,4,1348
1844505072,2016-04-11,5430,1888
1844505072,2016-04-12,6697,2030
1844505072,2016-05-04,2080,1549
1844505072,2016-04-10,6556,1971
1844505072,2016-05-05,2237,1589
1844505072,2016-04-01,6847,1969
1844505072,2016-04-19,197,1366
1844505072,2016-05-01,2573,1541
1927972279,2016-04-26,3761,2638
1927972279,2016-05-07,1510,2229
1927972279,2016-04-01,4317,2590
1927972279,2016-04-23,2945,2499
1927972279,2016-04-25,152,2100
1927972279,2016-05-03,1326,2195
1927972279,2016-04-08,519,2088
1927972279,2016-04-07,768,2130
1927972279,2016-05-02,3790,2505
1927972279,2016-04-06,1259,2202
1927972279,2016-04-14,2163,2383
1927972279,2016-04-13,356,2151
1927972279,2016-04-04,2352,2380
1927972279,2016-05-04,1786,2338
