Id,ActivityDate,TotalSteps,HoursAsleep
1503960366,2016-05-08,10060,9.9
1503960366,2016-05-03,15103,4.55
1503960366,2016-05-07,11992,5.52
1503960366,2016-04-24,10039,7.17
1503960366,2016-05-11,12770,4.75
1503960366,2016-04-17,9705,11.67
1503960366,2016-05-10,12207,6.38
1503960366,2016-04-21,9819,5.42
1503960366,2016-04-16,12669,5.67
1503960366,2016-05-02,14727,4.62
1503960366,2016-04-26,13755,4.08
1503960366,2016-04-12,13162,5.45
1503960366,2016-04-23,14371,6.02
1503960366,2016-04-29,11181,5.68
1503960366,2016-04-19,15506,5.07
1503960366,2016-04-13,10735,6.4
1503960366,2016-04-28,13154,6.1
1503960366,2016-05-01,10602,6.15
1503960366,2016-05-09,12022,5.63
1503960366,2016-05-06,12159,5.57
1503960366,2016-04-15,9762,6.87
1503960366,2016-04-25,15355,4.62
1503960366,2016-04-20,10544,6.0
1503960366,2016-04-30,14673,6.73
1503960366,2016-05-05,14070,4.12
1644430081,2016-05-02,3758,13.27
1644430081,2016-04-30,18213,2.07
1644430081,2016-05-08,6724,2.28
1644430081,2016-04-29,3176,1.98
1844505072,2016-04-15,3844,10.73
1844505072,2016-05-01,2573,9.83
1844505072,2016-04-30,4014,12.03
1927972279,2016-04-26,3761,4.93
1927972279,2016-04-28,1675,2.77
1927972279,2016-04-13,356,6.63
1927972279,2016-04-12,678,12.5
1927972279,2016-04-15,980,7.92
2026352035,2016-04-25,6017,8.43
2026352035,2016-04-28,6375,8.55
2026352035,2016-05-06,8198,8.73
2026352035,2016-05-05,12167,7.8
2026352035,2016-05-04,6564,8.97
2026352035,2016-04-14,3335,9.08
2026352035,2016-04-17,838,7.28
2026352035,2016-04-22,2915,8.67
2026352035,2016-04-24,3490,9.25
2026352035,2016-04-27,6088,8.47
2026352035,2016-04-23,12357,8.7
2026352035,2016-05-09,10685,8.85
2026352035,2016-05-01,3609,8.78
2026352035,2016-04-15,3821,8.72
2026352035,2016-04-16,2547,8.73
2026352035,2016-05-08,5528,9.02
2026352035,2016-05-11,8580,8.72
2026352035,2016-04-19,2424,8.3
2026352035,2016-04-30,4729,9.55
2026352035,2016-05-02,7018,8.52
2026352035,2016-05-07,4193,8.52
2026352035,2016-04-13,4993,8.85
2026352035,2016-05-10,254,5.95
2026352035,2016-04-20,7222,7.68
2026352035,2016-05-12,8891,7.6
2026352035,2016-04-12,4414,8.38
2026352035,2016-04-21,2467,7.95
2026352035,2016-04-29,7604,8.17
2320127002,2016-04-23,5079,1.02
2347167796,2016-04-14,10129,7.42
2347167796,2016-04-15,10465,7.53
2347167796,2016-04-22,7804,6.75
2347167796,2016-04-18,8247,8.33
2347167796,2016-04-26,5980,7.27
2347167796,2016-04-21,10080,7.67
2347167796,2016-04-19,6711,7.75
2347167796,2016-04-17,5472,9.27
2347167796,2016-04-13,10352,7.78
2347167796,2016-04-28,5439,6.8
2347167796,2016-04-24,9471,7.37
2347167796,2016-04-27,11423,7.47
2347167796,2016-04-23,16901,6.23
2347167796,2016-04-29,42,6.85
2347167796,2016-04-25,9482,7.22
3977333714,2016-04-24,14112,5.17
3977333714,2016-04-27,7193,5.82
3977333714,2016-04-15,9010,7.07
3977333714,2016-05-07,11550,3.95
3977333714,2016-04-12,8856,4.57
3977333714,2016-05-03,14335,4.87
3977333714,2016-04-16,13459,4.72
3977333714,2016-04-19,12414,3.65
3977333714,2016-05-02,16520,3.83
3977333714,2016-04-26,11388,4.17
3977333714,2016-04-13,10035,4.92
3977333714,2016-04-28,7114,4.35
3977333714,2016-04-30,13238,3.95
